speech_id,year,sense,count,n
470131661,1882,observe,4,30
470131661,1882,newspaper,6,30
470131668,1882,ship,8,10
470131668,1882,observe,1,10
470131668,1882,newspaper,1,10
470131675,1882,ship,50,56
470131675,1882,observe,0,56
470131675,1882,newspaper,6,56
470131678,1882,ship,10,10
470131678,1882,observe,0,10
470131678,1882,newspaper,0,10
470131679,1882,ship,9,10
470131679,1882,observe,0,10
470131679,1882,newspaper,1,10
470131680,1882,ship,8,10
470131680,1882,observe,0,10
470131680,1882,newspaper,2,10
470131681,1882,ship,9,10
470131681,1882,observe,1,10
470131681,1882,newspaper,0,10
470131683,1882,ship,10,10
470131683,1882,observe,0,10
470131683,1882,newspaper,0,10
470131687,1882,ship,17,19
470131687,1882,observe,0,19
470131687,1882,newspaper,2,19
470131688,1882,ship,9,10
470131688,1882,observe,1,10
470131688,1882,newspaper,0,10
470131691,1882,ship,19,20
470131691,1882,observe,0,20
470131691,1882,newspaper,1,20
470131710,1882,ship,29,30
470131710,1882,observe,0,30
470131710,1882,newspaper,1,30
470131723,1882,ship,14,20
470131723,1882,observe,0,20
470131723,1882,newspaper,6,20
470131724,1882,ship,19,20
470131724,1882,observe,0,20
470131724,1882,newspaper,0,20
470131728,1882,ship,17,20
470131728,1882,observe,0,20
470131728,1882,newspaper,3,20
470131743,1882,ship,9,9
470131743,1882,observe,0,9
470131743,1882,newspaper,0,9
470131745,1882,ship,4,5
470131745,1882,observe,0,5
470131745,1882,newspaper,1,5
470131747,1882,ship,136,154
470131747,1882,observe,5,154
470131747,1882,newspaper,12,154
470131748,1882,ship,28,30
470131748,1882,observe,0,30
470131748,1882,newspaper,2,30
470131758,1882,ship,9,10
470131758,1882,observe,0,10
470131758,1882,newspaper,1,10
470146516,1883,ship,10,10
470146516,1883,observe,0,10
470146516,1883,newspaper,0,10
470147009,1883,ship,10,10
470147009,1883,observe,0,10
470147009,1883,newspaper,0,10
470155090,1883,ship,9,10
470155090,1883,observe,0,10
470155090,1883,newspaper,1,10
470155099,1883,ship,8,10
470155099,1883,observe,0,10
470155099,1883,newspaper,2,10
470155100,1883,ship,4,10
470155100,1883,observe,0,10
470155100,1883,newspaper,6,10
470155217,1883,ship,8,10
470155217,1883,observe,1,10
470155217,1883,newspaper,0,10
470182356,1883,ship,8,10
470182356,1883,observe,0,10
470182356,1883,newspaper,2,10
470189766,1883,ship,13,20
470189766,1883,observe,1,20
470189766,1883,newspaper,5,20
470189906,1883,ship,8,10
470189906,1883,observe,1,10
470189906,1883,newspaper,1,10
470193954,1883,ship,43,47
470193954,1883,observe,0,47
470193954,1883,newspaper,3,47
470202106,1883,ship,9,9
470202106,1883,observe,0,9
470202106,1883,newspaper,0,9
470202108,1883,ship,6,10
470202108,1883,observe,0,10
470202108,1883,newspaper,4,10
470202127,1883,ship,10,10
470202127,1883,observe,0,10
470202127,1883,newspaper,0,10
480003363,1884,ship,17,20
480003363,1884,observe,0,20
480003363,1884,newspaper,2,20
480009554,1884,ship,17,20
480009554,1884,observe,2,20
480009554,1884,newspaper,1,20
480015838,1884,ship,9,9
480015838,1884,observe,0,9
480015838,1884,newspaper,0,9
480020608,1884,ship,18,20
480020608,1884,observe,0,20
480020608,1884,newspaper,2,20
480020687,1884,ship,10,10
480020687,1884,observe,0,10
480020687,1884,newspaper,0,10
480020921,1884,ship,17,20
480020921,1884,observe,0,20
480020921,1884,newspaper,3,20
480022551,1884,ship,10,10
480022551,1884,observe,0,10
480022551,1884,newspaper,0,10
480023190,1884,ship,10,10
480023190,1884,observe,0,10
480023190,1884,newspaper,0,10
480023359,1884,ship,10,10
480023359,1884,observe,0,10
480023359,1884,newspaper,0,10
480023360,1884,ship,2,10
480023360,1884,observe,0,10
480023360,1884,newspaper,0,10
480040977,1884,ship,10,10
480040977,1884,observe,0,10
480040977,1884,newspaper,0,10
480048403,1884,ship,29,39
480048403,1884,observe,3,39
480048403,1884,newspaper,7,39
480049968,1884,ship,10,10
480049968,1884,observe,0,10
480049968,1884,newspaper,0,10
480071248,1884,ship,32,40
480071248,1884,observe,2,40
480071248,1884,newspaper,6,40
480074590,1884,ship,4,10
480074590,1884,observe,2,10
480074590,1884,newspaper,4,10
480084760,1884,ship,19,19
480084760,1884,observe,0,19
480084760,1884,newspaper,0,19
480086450,1884,ship,10,10
480086450,1884,observe,0,10
480086450,1884,newspaper,0,10
480086995,1884,ship,10,10
480086995,1884,observe,0,10
480086995,1884,newspaper,0,10
480087014,1884,ship,7,10
480087014,1884,observe,1,10
480087014,1884,newspaper,2,10
480091189,1884,ship,4,10
480091189,1884,observe,1,10
480091189,1884,newspaper,5,10
480093010,1884,ship,10,10
480093010,1884,observe,0,10
480093010,1884,newspaper,0,10
480093011,1884,ship,10,10
480093011,1884,observe,0,10
480093011,1884,newspaper,0,10
480106762,1885,ship,19,20
480106762,1885,observe,0,20
480106762,1885,newspaper,1,20
480124875,1885,ship,8,10
480124875,1885,observe,1,10
480124875,1885,newspaper,1,10
480124895,1885,ship,9,9
480124895,1885,observe,0,9
480124895,1885,newspaper,0,9
480124897,1885,ship,8,10
480124897,1885,observe,0,10
480124897,1885,newspaper,2,10
480124899,1885,ship,9,10
480124899,1885,observe,0,10
480124899,1885,newspaper,1,10
480125920,1885,ship,10,10
480125920,1885,observe,0,10
480125920,1885,newspaper,0,10
480126207,1885,ship,16,18
480126207,1885,observe,2,18
480126207,1885,newspaper,0,18
480127222,1885,ship,8,10
480127222,1885,observe,0,10
480127222,1885,newspaper,1,10
480127251,1885,ship,20,28
480127251,1885,observe,6,28
480127251,1885,newspaper,2,28
490004152,1885,ship,9,10
490004152,1885,observe,0,10
490004152,1885,newspaper,1,10
490004980,1886,ship,10,10
490004980,1886,observe,0,10
490004980,1886,newspaper,0,10
490008341,1886,ship,12,18
490008341,1886,observe,2,18
490008341,1886,newspaper,4,18
490009212,1886,ship,10,10
490009212,1886,observe,0,10
490009212,1886,newspaper,0,10
490029320,1886,ship,2,10
490029320,1886,observe,2,10
490029320,1886,newspaper,1,10
490059190,1886,ship,17,20
490059190,1886,observe,0,20
490059190,1886,newspaper,2,20
490059193,1886,ship,10,10
490059193,1886,observe,0,10
490059193,1886,newspaper,0,10
490100376,1886,ship,9,10
490100376,1886,observe,0,10
490100376,1886,newspaper,1,10
490100421,1886,ship,10,10
490100421,1886,observe,0,10
