"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"3054","Spanish (Mexican)","produces","push",24,19,58,0.246753246753247,"verbs","action_words","empujar","empujar",7,6.97802197802121,-9.14385328695382,5.39,4.4,20.5,4.142857143,4.21
"3055","Spanish (Mexican)","produces","put",24,42,35,0.545454545454545,"verbs","action_words","meter(se)","meter(se), poner(se)",6,NA,NA,5.09,3.86,13.7894736842105,1.3,2.5
"3056","Spanish (Mexican)","produces","put",24,42,35,0.545454545454545,"verbs","action_words","poner(se)","meter(se), poner(se)",6,NA,NA,5.09,3.86,13.7894736842105,1.3,2.5
"3057","Spanish (Mexican)","produces","quack quack",24,43,34,0.558441558441558,"other","sounds","cuacuá","cuacuá",6,NA,-12.279347502883,6.11,4,20,2.5,3.93
"3058","Spanish (Mexican)","produces","quesadilla",24,24,53,0.311688311688312,"nouns","food_drink","quesadilla","quesadilla",8,NA,-12.9724946834429,7.18,4.94,NA,NA,4.92
"3059","Spanish (Mexican)","produces","radio",24,31,46,0.402597402597403,"nouns","household","radio","radio",5,9.29268292683,-9.92797224571949,6,3.84,14.0810810810811,1.8,4.74
"3060","Spanish (Mexican)","produces","rain",24,33,44,0.428571428571429,"nouns","outside","lluvia","lluvia",5,6.46875,-10.1691343025364,6.58,3.29,14.3888888888889,2.166666667,4.97
"3061","Spanish (Mexican)","produces","read",24,14,63,0.181818181818182,"verbs","action_words","leer","leer",4,8.02941176470582,-8.5239783075002,6.73,3.7,8.16129032258065,4.636363636,3.56
"3062","Spanish (Mexican)","produces","red",24,36,41,0.467532467532468,"adjectives","descriptive_words","rojo","rojo",4,5.59720930232448,-6.68463612328113,5.67,5.02,13.8181818181818,2,4.24
"3063","Spanish (Mexican)","produces","refrigerator",24,22,55,0.285714285714286,"nouns","furniture_rooms","refrigerador","refrigerador",12,NA,-12.279347502883,5.76,3.25,10.6756756756757,2.352941176,5
"3064","Spanish (Mexican)","produces","rice",24,50,27,0.649350649350649,"nouns","food_drink","arroz","arroz",4,5.71717171717,-9.06047167801477,5.7,3,NA,NA,4.86
"3065","Spanish (Mexican)","produces","rock (object)",24,35,42,0.454545454545455,"nouns","outside","piedra","piedra",6,7.21276595744723,-8.7098148064016,5.72,3.14,22.972972972973,3.368421053,4.91
"3066","Spanish (Mexican)","produces","roof",24,23,54,0.298701298701299,"nouns","outside","techo","techo",4,8.18644067796949,-9.57129730178076,4.48,3.4,7.90909090909091,1.333333333,4.79
"3067","Spanish (Mexican)","produces","room",24,40,37,0.519480519480519,"nouns","furniture_rooms","cuarto","cuarto",6,8.1618798955589,-7.71499931141514,5.55,3.1,6.61538461538461,4.6,4.79
"3068","Spanish (Mexican)","produces","run",24,35,42,0.454545454545455,"verbs","action_words","correr","correr",5,5.85273972602501,-6.60173790253079,6.41,5.24,13.5151515151515,2,4.31
"3069","Spanish (Mexican)","produces","sad",24,14,63,0.181818181818182,"adjectives","descriptive_words","triste","triste",6,7.62595419846943,-8.0934878318251,2.1,3.49,18.7857142857143,2.1,3.07
"3070","Spanish (Mexican)","produces","same",24,12,65,0.155844155844156,"adjectives","descriptive_words","igual","igual",5,6.75111607143209,-6.86658600194407,5.86,3.43,10.4242424242424,2.25,2.64
"3071","Spanish (Mexican)","produces","say",24,18,59,0.233766233766234,"verbs","action_words","decir","decir",5,9.08795269770842,-6.45482341053064,5.91,4.43,17.0967741935484,3.9,2.58
"3072","Spanish (Mexican)","produces","school",24,44,33,0.571428571428571,"other","outside","escuela","escuela",7,10.0933333333164,-8.24510686473058,5.41,4.57,12.1891891891892,3.785714286,4.79
"3073","Spanish (Mexican)","produces","school",24,44,33,0.571428571428571,"other","places","escuela","escuela",7,10.0933333333164,-8.24510686473058,5.41,4.57,12.1891891891892,3.785714286,4.79
"3074","Spanish (Mexican)","produces","scissors",24,26,51,0.337662337662338,"nouns","household","tijeras","tijeras",7,6.72857142857457,-9.40296198696155,5.03,4.02,14.4102564102564,1.2,4.85
"3075","Spanish (Mexican)","produces","self",24,11,66,0.142857142857143,"function_words","pronouns","se","se",2,7.55513504900354,-3.53489922411281,6.86,4.78,NA,NA,3.1
"3076","Spanish (Mexican)","produces","shoe",24,71,6,0.922077922077922,"nouns","clothing","zapato","zapato",6,6.52439024390585,-7.86958411323749,5.78,2.4,12.7692307692308,4.153846154,4.97
"3077","Spanish (Mexican)","produces","shorts",24,20,57,0.25974025974026,"nouns","clothing","shorts","shorts",5,NA,NA,5.95,4.23,7,3.6,4.82
"3078","Spanish (Mexican)","produces","show",24,12,65,0.155844155844156,"verbs","action_words","enseñar","enseñar",7,8.55225653206668,-6.92867490600101,5.91,4.1,8.97222222222222,3.307692308,3.97
"3079","Spanish (Mexican)","produces","shower",24,21,56,0.272727272727273,"nouns","furniture_rooms","regadera/ducha","regadera/ducha",6,6.2399999999992,-8.64836202718794,7.19,4.15,11.3076923076923,2.727272727,4.89
"3080","Spanish (Mexican)","produces","sick",24,17,60,0.220779220779221,"adjectives","descriptive_words","enfermo","enfermo",7,10.5322580645065,-8.83732812670056,2.29,4.67,16.741935483871,5.6,2.97
"3081","Spanish (Mexican)","produces","sing",24,35,42,0.454545454545455,"verbs","action_words","cantar","cantar",6,6.16383701188302,-6.59321996346549,7.5,4.1,24.952380952381,6.1875,4.34
"3082","Spanish (Mexican)","produces","sink",24,17,60,0.220779220779221,"nouns","furniture_rooms","lavabo","lavabo",6,7.72727272727273,-11.1807352142149,4.62,3.7,12.2702702702703,3.166666667,4.74
"3083","Spanish (Mexican)","produces","sister",24,30,47,0.38961038961039,"other","people","hermana","hermana",6,9.13230769231127,-6.78217927758977,7,3.86,9.92105263157895,7.1,4
"3084","Spanish (Mexican)","produces","sit",24,39,38,0.506493506493506,"verbs","action_words","sentar(se)","sentar(se)",7,NA,NA,5.82,3.19,19.2682926829268,5.833333333,4.8
"3085","Spanish (Mexican)","produces","skirt",24,21,56,0.272727272727273,"nouns","clothing","falda","falda",5,7.2786885245882,-9.53850747895777,6.14,4.88,NA,NA,4.82
